P23042951,-78.64746346,35.78283339,51A,Downtown,2023-08-04,23:18:00,Weapons/Carry Concealed Weapon,RALEIGH,600 BLOCK W JONES ST
P23042952,-78.64117009,35.7555926,25F,Downtown,2023-08-04,22:49:00,Assault/Intimidation-Communicating Threats,RALEIGH,1900 BLOCK S WILMINGTON ST
P23042955,-78.67661864,35.77943617,25E,Southwest,2023-08-04,22:58:00,Assault/Simple,RALEIGH,2100 BLOCK AVENT FERRY RD
P23042956,-78.64739272,35.78417219,53A,Downtown,2023-08-04,23:24:00,Damage to Property (Group A),RALEIGH,300 BLOCK GLENWOOD AVE
P23042958,-78.67953526,35.87248229,80A,Northwest,2023-08-04,23:14:00,All Other/All Other Offenses,RALEIGH,6300 BLOCK CREEDMOOR RD
P23042960,-78.58887891,35.82449039,51A,Northeast,2023-08-04,23:54:00,Weapons/Carry Concealed Weapon,RALEIGH,3200 BLOCK MAYFLOWER DR
P23042960,-78.58887891,35.82449039,54D,Northeast,2023-08-04,23:54:00,Drug Violation/Misdemeanor,RALEIGH,3200 BLOCK MAYFLOWER DR
P23042961,-78.64908932,35.78289979,54C,Downtown,2023-08-05,0:08:00,Drug Violation/Felony,RALEIGH,200 BLOCK N BOYLAN AVE
P23042961,-78.64908932,35.78289979,51B,Downtown,2023-08-05,0:08:00,Weapons/Illegal Possession of Weapon,RALEIGH,200 BLOCK N BOYLAN AVE
P23042962,-78.64908932,35.78289979,54Z,Downtown,2023-08-05,0:26:00,Drug Equipment/Paraphernalia,RALEIGH,200 BLOCK N BOYLAN AVE
P23042962,-78.64908932,35.78289979,54D,Downtown,2023-08-05,0:26:00,Drug Violation/Misdemeanor,RALEIGH,200 BLOCK N BOYLAN AVE
P23042962,-78.64908932,35.78289979,51A,Downtown,2023-08-05,0:26:00,Weapons/Carry Concealed Weapon,RALEIGH,200 BLOCK N BOYLAN AVE
P23042962,-78.64891548,35.78738012,54Z,Downtown,2023-08-05,0:26:00,Drug Equipment/Paraphernalia,RALEIGH,700 BLOCK W JOHNSON ST
P23042962,-78.64891548,35.78738012,54D,Downtown,2023-08-05,0:26:00,Drug Violation/Misdemeanor,RALEIGH,700 BLOCK W JOHNSON ST
P23042962,-78.64891548,35.78738012,51A,Downtown,2023-08-05,0:26:00,Weapons/Carry Concealed Weapon,RALEIGH,700 BLOCK W JOHNSON ST
P23042963,-78.5692132,35.7992015,51C,Southeast,2023-08-05,0:16:00,Weapons/Shots Fired,RALEIGH,3900 BLOCK NEW BERN AV
P23042964,-78.63842271,35.77421129,51A,Downtown,2023-08-05,0:43:00,Weapons/Carry Concealed Weapon,RALEIGH,400 BLOCK S WILMINGTON ST
P23042968,-78.61095476,35.7444736,56C,Southeast,2023-08-05,1:12:00,Fraud/ID Theft,RALEIGH,2600 BLOCK FOXGATE DR
P23042968,-78.61095476,35.7444736,56A,Southeast,2023-08-05,1:12:00,Fraud/False Pretense or Swindle,RALEIGH,2600 BLOCK FOXGATE DR
P23042970,-78.61810704,35.7800317,25E,Southeast,2023-08-05,1:05:00,Assault/Simple,RALEIGH,1300 BLOCK NEW BERN AV
P23042971,-78.64610676,35.7769468,55A,Downtown,2023-08-05,1:31:00,Counterfeiting/Forgery,RALEIGH,300 BLOCK SOUTH WEST STREET
P23042972,-78.65931112,35.88648754,25F,Northwest,2023-08-05,0:25:00,Assault/Intimidation-Communicating Threats,RALEIGH,7700 BLOCK LEAD MINE RD
P23042973,-78.5753694,35.852228,51C,Northeast,2023-08-05,1:24:00,Weapons/Shots Fired,RALEIGH,4800 BLOCK AVENIDA DEL SOL DR
P23042974,-78.73090539,35.8109226,35D,Southwest,2023-08-05,1:47:00,Larceny/Theft from Building,RALEIGH,"5400 BLOCK CROSBY WAY,"
P23042975,-78.68351446,35.8438407,71A,Northwest,2023-08-05,1:49:00,Traffic/DWI (Driving While Impaired),RALEIGH,4800 BLOCK GLENWOOD AV
P23042976,-78.58636328,35.85144434,25E,Northeast,2023-08-05,1:54:00,Assault/Simple,RALEIGH,4800 BLOCK LEIGH DR
P23042977,-78.59159236,35.82080171,71A,Northeast,2023-08-05,1:54:00,Traffic/DWI (Driving While Impaired),RALEIGH,3000 BLOCK CAPITAL BLVD
P23042978,-78.65089216,35.78747171,54D,Downtown,2023-08-05,1:59:00,Drug Violation/Misdemeanor,RALEIGH,500 BLOCK ST MARYS ST
P23042978,-78.65089216,35.78747171,51A,Downtown,2023-08-05,1:59:00,Weapons/Carry Concealed Weapon,RALEIGH,500 BLOCK ST MARYS ST
P23042979,-78.61855517,35.81251381,71A,Northeast,2023-08-05,1:42:00,Traffic/DWI (Driving While Impaired),RALEIGH,2400 BLOCK ATLANTIC AV
P23042980,-78.60184456,35.8367953,54D,Northeast,2023-08-05,1:08:00,Drug Violation/Misdemeanor,RALEIGH,4000 BLOCK ATLANTIC AV
P23042982,-78.64734078,35.7852736,54C,Downtown,2023-08-05,2:12:00,Drug Violation/Felony,RALEIGH,400 BLOCK GLENWOOD AVE
P23042982,-78.64734078,35.7852736,54D,Downtown,2023-08-05,2:12:00,Drug Violation/Misdemeanor,RALEIGH,400 BLOCK GLENWOOD AVE
P23042984,-78.80801322,35.90092983,54D,Northwest,2023-08-05,2:26:00,Drug Violation/Misdemeanor,RALEIGH,10800 BLOCK GLOBE RD
P23042985,-78.67527336,35.84131983,56B,Northwest,2023-08-05,2:29:00,Fraud/Credit Card-ATM Fraud,RALEIGH,4400 BLOCK MARRIOTT DRIVE
P23042986,-78.56401616,35.84128326,25E,Northeast,2023-08-05,2:06:00,Assault/Simple,RALEIGH,4900 BLOCK WINDBLOWN CT
P23042987,-78.64734078,35.7852736,70E,Downtown,2023-08-05,2:24:00,Disorderly Conduct/Resist-Delay-Obstruct Officer,RALEIGH,400 BLOCK GLENWOOD AVE
P23042988,-78.53608193,35.8771709,80B,North,2023-08-05,2:36:00,All Other/Damage to Property (minor),RALEIGH,7800 BLOCK RIVERFIELD DR
P23042988,-78.53608193,35.8771709,53A,North,2023-08-05,2:36:00,Damage to Property (Group A),RALEIGH,7800 BLOCK RIVERFIELD DR
P23042990,-78.62316718,35.80572655,71A,Downtown,2023-08-05,2:54:00,Traffic/DWI (Driving While Impaired),RALEIGH,2100 BLOCK ATLANTIC AV
P23042991,-78.64739272,35.78417219,25E,Downtown,2023-08-05,2:58:00,Assault/Simple,RALEIGH,300 BLOCK GLENWOOD AVE
P23042993,-78.64337412,35.85101801,80A,North,2023-08-05,2:42:00,All Other/All Other Offenses,RALEIGH,SIX FORKS RD  &  SHELLEY RD
P23042996,0,0,35C,North,2023-08-05,3:43:00,Larceny/Shoplifting,WAKE COUNTY,10900 BLOCK RAVEN RIDGE RD RD
P23042997,-78.64051228,35.83274289,35D,Southwest,2023-08-05,3:44:00,Larceny/Theft from Building,RALEIGH,3600 BLOCK DETRICK DR
P23042997,-78.64051228,35.83274289,30A,Southwest,2023-08-05,3:44:00,Burglary/Commercial or Non-Residential,RALEIGH,3600 BLOCK DETRICK DR
P23042998,-78.78541079,35.90853401,35C,Northwest,2023-08-05,3:46:00,Larceny/Shoplifting,RALEIGH,8300 BLOCK BRIER CREEK PKWY
P23042999,-78.58374291,35.84491941,80D,Northeast,2023-08-05,3:50:00,All Other/Trespassing,RALEIGH,4700 BLOCK OLD PLANK RD
P23042999,-78.58374291,35.84491941,54Z,Northeast,2023-08-05,3:50:00,Drug Equipment/Paraphernalia,RALEIGH,4700 BLOCK OLD PLANK RD
P23043000,-78.65926264,35.7889914,56B,Southwest,2023-08-05,3:58:00,Fraud/Credit Card-ATM Fraud,RALEIGH,400 BLOCK WOODBURN RD
P23043001,-78.57559217,35.85145106,25G,Northeast,2023-08-05,4:05:00,Assault/Aggravated,RALEIGH,4900 BLOCK HOLLENDEN DR
P23043003,-78.69172491,35.81559761,35C,Southwest,2023-08-05,3:56:00,Larceny/Shoplifting,RALEIGH,3600 BLOCK LAKE BOONE TRL
P23043005,-78.77601379,35.90860048,80A,Northwest,2023-08-05,4:07:00,All Other/All Other Offenses,RALEIGH,10000 BLOCK GLENWOOD AV
P23043006,-78.6207671,35.86767687,71A,North,2023-08-05,5:11:00,Traffic/DWI (Driving While Impaired),RALEIGH,6200 BLOCK FALLS OF NEUSE RD
P23043007,-78.61064348,35.84170517,70E,North,2023-08-05,5:15:00,Disorderly Conduct/Resist-Delay-Obstruct Officer,RALEIGH,1600 BLOCK NORTH MARKET DR
P23043007,-78.61064348,35.84170517,71A,North,2023-08-05,5:15:00,Traffic/DWI (Driving While Impaired),RALEIGH,1600 BLOCK NORTH MARKET DR
P23043009,-78.61269028,35.77978954,35C,Southeast,2023-08-05,5:30:00,Larceny/Shoplifting,RALEIGH,1800 BLOCK NEW BERN AVE
P23043010,-78.59079084,35.8435352,25G,Northeast,2023-08-05,6:22:00,Assault/Aggravated,RALEIGH,4300 BLOCK PRESLEY CT
P23043010,-78.59079084,35.8435352,40A,Northeast,2023-08-05,6:22:00,Motor Vehicle Theft,RALEIGH,4300 BLOCK PRESLEY CT
P23043010,-78.59079084,35.8435352,80B,Northeast,2023-08-05,6:22:00,All Other/Damage to Property (minor),RALEIGH,4300 BLOCK PRESLEY CT
P23043011,-78.63928828,35.77668969,20B,Downtown,2023-08-05,6:26:00,Robbery/From Person,RALEIGH,300 BLOCK FAYETTEVILLE ST
P23043013,-78.68659428,35.75220888,25G,Southwest,2023-08-05,6:51:00,Assault/Aggravated,RALEIGH,1800 BLOCK TRAILWOOD HEIGHTS LN
P23043014,-78.64281151,35.8838781,71A,North,2023-08-05,7:14:00,Traffic/DWI (Driving While Impaired),RALEIGH,7800 BLOCK ALISON CT
P23043015,-78.58851003,35.77079372,80D,Southeast,2023-08-05,5:42:00,All Other/Trespassing,RALEIGH,600 BLOCK ST GEORGE RD
P23043020,-78.55666569,35.7979878,35F,Southeast,2023-08-05,8:18:00,Larceny/Theft from Motor Vehicle,RALEIGH,4700 BLOCK NEW BERN AVE
P23043029,-78.56181275,35.83285979,35F,Northeast,2023-08-05,9:22:00,Larceny/Theft from Motor Vehicle,RALEIGH,4600 BLOCK MILL ROCK LN
P23043030,-78.57895067,35.84444755,35F,Northeast,2023-08-05,7:45:00,Larceny/Theft from Motor Vehicle,RALEIGH,3100 BLOCK CALVARY DR
P23043031,-78.64717339,35.78491007,35D,Downtown,2023-08-05,10:02:00,Larceny/Theft from Building,RALEIGH,500 BLOCK W NORTH ST
P23043032,-78.64946466,35.77124905,80B,Downtown,2023-08-05,9:19:00,All Other/Damage to Property (minor),RALEIGH,600 BLOCK DOROTHEA DR
P23043033,-78.58737176,35.78854571,54C,Southeast,2023-08-05,9:52:00,Drug Violation/Felony,RALEIGH,3100 BLOCK NEW BERN AVE
P23043035,-78.58755267,35.78818909,17M,Southeast,2023-08-05,10:04:00,Sex Offense/Indecent Exposure,RALEIGH,3100 BLOCK NEW BERN AVE
P23043037,-78.60214068,35.81376326,54C,Northeast,2023-08-05,9:56:00,Drug Violation/Felony,RALEIGH,2600 BLOCK APPLIANCE CT
P23043039,-78.61064348,35.84170517,35H,North,2023-08-05,9:13:00,Larceny/All Other,RALEIGH,1600 BLOCK NORTH MARKET DR
P23043040,-78.65633142,35.74616851,51A,Southwest,2023-08-05,11:28:00,Weapons/Carry Concealed Weapon,RALEIGH,800 BLOCK SUFFOLK BLVD
P23043041,-78.65633142,35.74616851,51D,Southwest,2023-08-05,11:06:00,Weapons/All Other,RALEIGH,800 BLOCK SUFFOLK BLVD
P23043043,-78.60425252,35.7531602,25G,Southeast,2023-08-05,11:04:00,Assault/Aggravated,RALEIGH,2000 BLOCK CARTIER RUBY LN
P23043044,-78.67438534,35.83465223,56A,Northwest,2023-08-05,10:15:00,Fraud/False Pretense or Swindle,RALEIGH,2200 BLOCK SUMMIT PARK LN
P23043046,-78.60684684,35.83944926,35F,North,2023-08-05,11:17:00,Larceny/Theft from Motor Vehicle,RALEIGH,4400 BLOCK CRAFTSMAN DR
P23043050,-78.60174141,35.83472119,54C,Northeast,2023-08-05,11:28:00,Drug Violation/Felony,RALEIGH,2200 BLOCK NEW HOPE CHURCH RD
P23043050,-78.60174141,35.83472119,51B,Northeast,2023-08-05,11:28:00,Weapons/Illegal Possession of Weapon,RALEIGH,2200 BLOCK NEW HOPE CHURCH RD
P23043055,-78.57848131,35.85002891,25G,Northeast,2023-08-05,12:21:00,Assault/Aggravated,RALEIGH,5100 BLOCK N NEW HOPE RD
P23043056,-78.68763653,35.83150056,30B,Northwest,2023-08-05,11:26:00,Burglary/Residential,RALEIGH,4100 BLOCK ENGLISH GARDEN WAY
P23043057,-78.64536758,35.77131191,25G,Downtown,2023-08-05,12:22:00,Assault/Aggravated,RALEIGH,400 BLOCK DOROTHEA DR
P23043060,-78.57286335,35.86819936,35C,Northeast,2023-08-05,13:00:00,Larceny/Shoplifting,RALEIGH,7700 BLOCK OLD WAKE FOREST RD
P23043065,0,0,25F,Northeast,2023-08-05,13:42:00,Assault/Intimidation-Communicating Threats,WAKE COUNTY,4400 BLOCK COURTNEY LN
P23043065,0,0,80B,Northeast,2023-08-05,13:42:00,All Other/Damage to Property (minor),WAKE COUNTY,4400 BLOCK COURTNEY LN
P23043066,-78.61318018,35.73407305,80B,Southeast,2023-08-05,13:28:00,All Other/Damage to Property (minor),RALEIGH,1400 BLOCK UJAMAA DR
P23043068,-78.66960627,35.83541028,25G,Northwest,2023-08-05,14:04:00,Assault/Aggravated,RALEIGH,GLENWOOD AV  &  I 440 WB
P23043072,-78.61386436,35.84381786,35D,North,2023-08-05,13:49:00,Larceny/Theft from Building,RALEIGH,4500 BLOCK FALLS OF NEUSE RD
P23043073,-78.57152676,35.86543996,35C,Northeast,2023-08-05,14:43:00,Larceny/Shoplifting,RALEIGH,5900 BLOCK TRIANGLE TOWN BLVD
P23043076,-78.64856647,35.79712216,56A,Southwest,2023-08-05,14:18:00,Fraud/False Pretense or Swindle,RALEIGH,500 BLOCK WADE AVE
P23043080,-78.53355756,35.87896716,80D,North,2023-08-05,15:08:00,All Other/Trespassing,RALEIGH,7900 BLOCK AVERETTE FIELD DR
P23043080,-78.53355756,35.87896716,80B,North,2023-08-05,15:08:00,All Other/Damage to Property (minor),RALEIGH,7900 BLOCK AVERETTE FIELD DR
P23043082,-78.59368351,35.80387617,35F,Northeast,2023-08-05,14:33:00,Larceny/Theft from Motor Vehicle,RALEIGH,1900 BLOCK BRENTMOOR DR
P23043083,-78.64494159,35.74660599,80A,Southeast,2023-08-05,12:24:00,All Other/All Other Offenses,RALEIGH,2700 BLOCK S WILMINGTON ST
P23043086,-78.66361728,35.77851516,25E,Southwest,2023-08-05,15:24:00,Assault/Simple,RALEIGH,500 BLOCK ASHE AV
P23043089,-78.62734092,35.78082056,54Z,Downtown,2023-08-05,15:43:00,Drug Equipment/Paraphernalia,RALEIGH,100 BLOCK SEAWELL AV
P23043089,-78.62734092,35.78082056,54D,Downtown,2023-08-05,15:43:00,Drug Violation/Misdemeanor,RALEIGH,100 BLOCK SEAWELL AV
P23043090,-78.60768634,35.77958068,20A,Southeast,2023-08-05,16:35:00,Robbery/From Business,RALEIGH,2000 BLOCK NEW BERN AVE
P23043092,-78.70121717,35.75157534,25G,Southwest,2023-08-05,15:06:00,Assault/Aggravated,RALEIGH,I 40 WB  &  GORMAN ST
P23043094,-78.57414293,35.93151476,35F,North,2023-08-05,14:56:00,Larceny/Theft from Motor Vehicle,RALEIGH,10000 BLOCK THOUGHTFUL SPOT WAY
P23043096,-78.50834417,35.84043855,70D,Northeast,2023-08-05,16:14:00,Disorderly Conduct/Drunk-Disorderly,RALEIGH,7600 BLOCK OAKBERRY DR
P23043096,-78.50834417,35.84043855,54C,Northeast,2023-08-05,16:14:00,Drug Violation/Felony,RALEIGH,7600 BLOCK OAKBERRY DR
P23043099,-78.61182147,35.83971755,35C,North,2023-08-05,17:16:00,Larceny/Shoplifting,RALEIGH,4300 BLOCK WAKE FOREST RD
P23043100,-78.63662046,35.77751836,54Z,Downtown,2023-08-05,16:39:00,Drug Equipment/Paraphernalia,RALEIGH,200 BLOCK S BLOUNT ST
P23043100,-78.63662046,35.77751836,54C,Downtown,2023-08-05,16:39:00,Drug Violation/Felony,RALEIGH,200 BLOCK S BLOUNT ST
P23043100,-78.63662046,35.77751836,54D,Downtown,2023-08-05,16:39:00,Drug Violation/Misdemeanor,RALEIGH,200 BLOCK S BLOUNT ST
P23043102,-78.69426672,35.76834574,25E,Southwest,2023-08-05,18:02:00,Assault/Simple,RALEIGH,3200 BLOCK AVENT FERRY RD
P23043103,-78.63120345,35.7523263,25E,Southeast,2023-08-05,16:15:00,Assault/Simple,RALEIGH,2100 BLOCK GARNER RD
P23043107,-78.67654879,35.83964159,17N,Northwest,2023-08-05,18:14:00,Sex Offense/Peeping Tom,RALEIGH,4300 BLOCK GLENWOOD AVE
P23043108,-78.61049236,35.77097986,20B,Southeast,2023-08-05,15:41:00,Robbery/From Person,RALEIGH,500 BLOCK GRANTLAND DR
P23043111,-78.63387028,35.76578307,25E,Downtown,2023-08-05,18:58:00,Assault/Simple,RALEIGH,400 BLOCK BRAGG ST
P23043111,-78.63387028,35.76578307,25G,Downtown,2023-08-05,18:58:00,Assault/Aggravated,RALEIGH,400 BLOCK BRAGG ST
P23043115,-78.54013937,35.87624984,35C,North,2023-08-05,18:05:00,Larceny/Shoplifting,RALEIGH,7500 BLOCK LOUISBURG RD
P23043117,-78.54844865,35.88746832,35H,North,2023-08-05,17:33:00,Larceny/All Other,RALEIGH,5500 BLOCK ALAFIA CT
P23043118,-78.60238378,35.9054282,53A,North,2023-08-05,19:07:00,Damage to Property (Group A),RALEIGH,9600 BLOCK FALLS OF NEUSE RD
P23043119,-78.53131206,35.87193032,25E,North,2023-08-05,19:18:00,Assault/Simple,RALEIGH,2900 BLOCK BRITMASS DR
P23043120,-78.6260844,35.77889436,25F,Downtown,2023-08-05,18:34:00,Assault/Intimidation-Communicating Threats,RALEIGH,800 BLOCK COTTON PL
P23043123,-78.64725054,35.78662893,56B,Downtown,2023-08-05,18:12:00,Fraud/Credit Card-ATM Fraud,RALEIGH,500 BLOCK GLENWOOD AVE
P23043123,-78.64725054,35.78662893,35H,Downtown,2023-08-05,18:12:00,Larceny/All Other,RALEIGH,500 BLOCK GLENWOOD AVE
P23043124,-78.67654879,35.83964159,40A,Northwest,2023-08-05,18:30:00,Motor Vehicle Theft,RALEIGH,4300 BLOCK GLENWOOD AVE
P23043128,-78.55359159,35.81326661,25F,Southeast,2023-08-05,18:11:00,Assault/Intimidation-Communicating Threats,RALEIGH,2400 BLOCK LAUREL VALLEY WAY
P23043137,-78.61397694,35.73622463,40A,Southeast,2023-08-05,18:24:00,Motor Vehicle Theft,RALEIGH,3300 BLOCK SNOWBERRY DR
P23043144,-78.57702702,35.81977325,51C,Northeast,2023-08-05,21:40:00,Weapons/Shots Fired,RALEIGH,3500 BLOCK MERCURY CIR
P23043147,-78.62101296,35.85094114,80A,North,2023-08-05,21:54:00,All Other/All Other Offenses,RALEIGH,E MILLBROOK RD  &  QUAIL HOLLOW DR
P23043148,-78.59721016,35.8770863,71A,North,2023-08-05,22:46:00,Traffic/DWI (Driving While Impaired),RALEIGH,HUNTING RIDGE RD  &  LITCHFORD RD
P23043150,-78.65042646,35.78865323,54Z,Southwest,2023-08-05,22:49:00,Drug Equipment/Paraphernalia,RALEIGH,800 BLOCK W PEACE ST
P23043150,-78.65042646,35.78865323,54D,Southwest,2023-08-05,22:49:00,Drug Violation/Misdemeanor,RALEIGH,800 BLOCK W PEACE ST
P23043152,-78.59996457,35.81104551,80A,Northeast,2023-08-05,21:59:00,All Other/All Other Offenses,RALEIGH,2600 BLOCK APPLIANCE CT
P23043156,-78.56511129,35.87082043,35C,Northeast,2023-08-05,22:41:00,Larceny/Shoplifting,RALEIGH,8000 BLOCK TOWN DR
P23043158,-78.63729113,35.7646899,40A,Downtown,2023-08-05,22:18:00,Motor Vehicle Theft,RALEIGH,1300 BLOCK S BLOUNT ST
P23043159,-78.64571989,35.78486551,54D,Downtown,2023-08-05,23:44:00,Drug Violation/Misdemeanor,RALEIGH,400 BLOCK N WEST ST
P23043159,-78.64571989,35.78486551,51A,Downtown,2023-08-05,23:44:00,Weapons/Carry Concealed Weapon,RALEIGH,400 BLOCK N WEST ST
P23043159,-78.64571989,35.78486551,51B,Downtown,2023-08-05,23:44:00,Weapons/Illegal Possession of Weapon,RALEIGH,400 BLOCK N WEST ST
P23043160,-78.59923837,35.86329037,25E,North,2023-08-05,22:08:00,Assault/Simple,RALEIGH,2400 BLOCK DIXIE FOREST RD
P23043161,-78.70710667,35.85310234,35H,Northwest,2023-08-05,23:31:00,Larceny/All Other,RALEIGH,4000 BLOCK DEEP HOLLOW DR
P23043162,-78.57795528,35.82320761,51C,Northeast,2023-08-05,23:45:00,Weapons/Shots Fired,RALEIGH,3200 BLOCK JUPITER ST
P23043163,-78.64891239,35.78631916,54D,Downtown,2023-08-06,0:00:00,Drug Violation/Misdemeanor,RALEIGH,500 BLOCK N BOYLAN AV
P23043163,-78.64891239,35.78631916,51A,Downtown,2023-08-06,0:00:00,Weapons/Carry Concealed Weapon,RALEIGH,500 BLOCK N BOYLAN AV
P23043168,-78.64714718,35.78864353,54D,Downtown,2023-08-05,23:58:00,Drug Violation/Misdemeanor,RALEIGH,600 BLOCK W PEACE ST
P23043168,-78.64714718,35.78864353,52A,Downtown,2023-08-05,23:58:00,Stolen Property/Possession (w/ Arrest) (STOLEN FROM OTHER JURISDICTION),RALEIGH,600 BLOCK W PEACE ST
P23043168,-78.64714718,35.78864353,51A,Downtown,2023-08-05,23:58:00,Weapons/Carry Concealed Weapon,RALEIGH,600 BLOCK W PEACE ST
P23043168,-78.64714718,35.78864353,51B,Downtown,2023-08-05,23:58:00,Weapons/Illegal Possession of Weapon,RALEIGH,600 BLOCK W PEACE ST
P23043169,-78.64595715,35.80180373,54Z,Downtown,2023-08-06,0:33:00,Drug Equipment/Paraphernalia,RALEIGH,1600 BLOCK GLENWOOD AVE
P23043169,-78.64595715,35.80180373,71A,Downtown,2023-08-06,0:33:00,Traffic/DWI (Driving While Impaired),RALEIGH,1600 BLOCK GLENWOOD AVE
P23043171,-78.69686991,35.82391654,56C,Southwest,2023-08-06,0:57:00,Fraud/ID Theft,RALEIGH,3000 BLOCK OLD ORCHARD RD
P23043173,-78.64489486,35.78274861,54D,Downtown,2023-08-06,1:05:00,Drug Violation/Misdemeanor,RALEIGH,400 BLOCK W JONES ST
P23043173,-78.64489486,35.78274861,51A,Downtown,2023-08-06,1:05:00,Weapons/Carry Concealed Weapon,RALEIGH,400 BLOCK W JONES ST
P23043174,-78.69404636,35.77028192,56C,Southwest,2023-08-06,1:09:00,Fraud/ID Theft,RALEIGH,2100 BLOCK GORMAN STREET
P23043175,-78.64725054,35.78662893,54Z,Downtown,2023-08-06,0:30:00,Drug Equipment/Paraphernalia,RALEIGH,500 BLOCK GLENWOOD AV
P23043175,-78.64725054,35.78662893,54D,Downtown,2023-08-06,0:30:00,Drug Violation/Misdemeanor,RALEIGH,500 BLOCK GLENWOOD AV
P23043175,-78.64725054,35.78662893,51A,Downtown,2023-08-06,0:30:00,Weapons/Carry Concealed Weapon,RALEIGH,500 BLOCK GLENWOOD AV
P23043178,-78.63964313,35.76130439,80B,Downtown,2023-08-06,1:17:00,All Other/Damage to Property (minor),RALEIGH,1400 BLOCK SOUTH WILMINGTON ST
P23043179,-78.6853467,35.61585921,56A,Southeast,2023-08-05,8:20:00,Fraud/False Pretense or Swindle,WAKE COUNTY,10900 BLOCK STAGE DR
P23043180,-78.64746346,35.78283339,54D,Downtown,2023-08-06,1:23:00,Drug Violation/Misdemeanor,RALEIGH,500 BLOCK W JONES ST
P23043181,-78.64734078,35.7852736,54Z,Downtown,2023-08-06,1:12:00,Drug Equipment/Paraphernalia,RALEIGH,400 BLOCK GLENWOOD AVE
P23043181,-78.64734078,35.7852736,54C,Downtown,2023-08-06,1:12:00,Drug Violation/Felony,RALEIGH,400 BLOCK GLENWOOD AVE
P23043181,-78.64734078,35.7852736,52C,Downtown,2023-08-06,1:12:00,Stolen Property/Recover Stolen Property (no arrest) (STOLEN FROM OTHER JURISDICTION),RALEIGH,400 BLOCK GLENWOOD AVE
P23043181,-78.64734078,35.7852736,51A,Downtown,2023-08-06,1:12:00,Weapons/Carry Concealed Weapon,RALEIGH,400 BLOCK GLENWOOD AVE
P23043183,-78.6474036,35.78396622,54C,Downtown,2023-08-06,1:52:00,Drug Violation/Felony,RALEIGH,200 BLOCK GLENWOOD AV
P23043184,-78.65089216,35.78747171,54Z,Downtown,2023-08-06,1:03:00,Drug Equipment/Paraphernalia,RALEIGH,W JOHNSON ST  &  ST MARYS ST
P23043185,-78.59673439,35.83549971,20B,Northeast,2023-08-06,1:48:00,Robbery/From Person,RALEIGH,3800 BLOCK BONNEVILLE CT
P23043186,-78.72948338,35.88201623,56B,Northwest,2023-08-06,2:11:00,Fraud/Credit Card-ATM Fraud,RALEIGH,5400 BLOCK WIND MOUNTAIN LN
P23043187,-78.62773926,35.77060442,35F,Downtown,2023-08-06,2:23:00,Larceny/Theft from Motor Vehicle,RALEIGH,800 BLOCK GROVE HOLLOW ST
P23043188,-78.63215991,35.80086991,54Z,Downtown,2023-08-06,2:13:00,Drug Equipment/Paraphernalia,RALEIGH,1500 BLOCK CAPITAL BLVD
P23043188,-78.63215991,35.80086991,54D,Downtown,2023-08-06,2:13:00,Drug Violation/Misdemeanor,RALEIGH,1500 BLOCK CAPITAL BLVD
P23043189,-78.62514924,35.80750771,51C,Southwest,2023-08-06,1:54:00,Weapons/Shots Fired,RALEIGH,800 BLOCK E WHITAKER MILL RD
P23043190,-78.64874237,35.7886258,70E,Southwest,2023-08-06,2:32:00,Disorderly Conduct/Resist-Delay-Obstruct Officer,RALEIGH,700 BLOCK W PEACE ST
P23043190,-78.64874237,35.7886258,54D,Southwest,2023-08-06,2:32:00,Drug Violation/Misdemeanor,RALEIGH,700 BLOCK W PEACE ST
P23043190,-78.64874237,35.7886258,51A,Southwest,2023-08-06,2:32:00,Weapons/Carry Concealed Weapon,RALEIGH,700 BLOCK W PEACE ST
P23043191,-78.62077348,35.7780205,25G,Southeast,2023-08-06,1:58:00,Assault/Aggravated,RALEIGH,100 BLOCK S PETTIGREW ST
P23043192,-78.61265338,35.78653065,35H,Southeast,2023-08-06,2:34:00,Larceny/All Other,RALEIGH,400 BLOCK COLLETON RD
P23043194,-78.59043308,35.89688857,56C,North,2023-08-06,2:36:00,Fraud/ID Theft,RALEIGH,2900 BLOCK LEGGING LANE LA
P23043195,-78.61355861,35.79915255,51C,Northeast,2023-08-06,2:07:00,Weapons/Shots Fired,RALEIGH,2000 BLOCK TIMBER DR
P23043196,-78.67654879,35.83964159,80B,Northwest,2023-08-06,2:40:00,All Other/Damage to Property (minor),RALEIGH,4300 BLOCK GLENWOOD AV
P23043197,-78.64601517,35.77882,71A,Downtown,2023-08-06,2:41:00,Traffic/DWI (Driving While Impaired),RALEIGH,100 BLOCK S WEST ST
P23043198,-78.77379881,35.91105489,35D,Northwest,2023-08-06,2:51:00,Larceny/Theft from Building,RALEIGH,7600 BLOCK SUMTER CREST DRIVE
P23043200,-78.69051603,35.7729972,35D,Southwest,2023-08-06,2:00:00,Larceny/Theft from Building,RALEIGH,1500 BLOCK GRADUATE LANE LA
P23043200,-78.69051603,35.7729972,35D,Southwest,2023-08-06,3:00:00,Larceny/Theft from Building,RALEIGH,1500 BLOCK GRADUATE LANE LA
P23043202,-78.64595715,35.80180373,51A,Downtown,2023-08-06,3:12:00,Weapons/Carry Concealed Weapon,RALEIGH,1600 BLOCK GLENWOOD AV
